2025-01-17 10:54:36,853 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Configure stats pid to 298473
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Loading settings from /users/PAS2473/brucewan666/.config/wandb/settings
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Loading settings from /fs/scratch/PAS2473/ICML2025/dart/scripts/wandb/settings
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'training/vq_train.py', 'program_abspath': '/fs/scratch/PAS2473/ICML2025/dart/training/vq_train.py', 'program': '/fs/scratch/PAS2473/ICML2025/dart/training/vq_train.py'}
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_init.py:_log_setup():533] Logging user logs to /fs/scratch/PAS2473/ICML2025/dart/scripts/wandb/run-20250117_105436-n71u4rt2/logs/debug.log
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_init.py:_log_setup():534] Logging internal logs to /fs/scratch/PAS2473/ICML2025/dart/scripts/wandb/run-20250117_105436-n71u4rt2/logs/debug-internal.log
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_init.py:init():619] calling init triggers
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'data_path': '/fs/scratch/PAS2473/ICML2025/dataset/openimage', 'cloud_save_path': '/fs/scratch/PAS2473/ICML2025/logs/vqgan/512', 'results_dir': '/fs/scratch/PAS2473/ICML2025/result/vqvae/512', 'vq_model': 'DART_tokenizer', 'vae_path': '/fs/scratch/PAS2473/ICML2025/hart/hart/hart-0.7b-1024px/tokenizer', 'vae_ckpt': None, 'ema': False, 'finetune': False, 'finetune_decoder': True, 'enhanced_decoder': False, 'kmeans': True, 'last_patch_num': 32, 'z_channels': 32, 'dataset': 'openimage', 'epochs': 2, 'lr': 0.0001, 'beta1': 0.9, 'beta2': 0.95, 'max_grad_norm': 1.0, 'global_batch_size': 48, 'global_seed': 42, 'mixed_precision': 'none', 'compile': False, 'num_workers': 10, 'disc_start': 2000, 'disc_weight': 0.5, 'disc_type': 'patchgan', 'disc_loss': 'hinge', 'gen_loss': 'hinge', 'perceptual_weight': 1.0, 'reconstruction_weight': 1.0, 'reconstruction_loss': 'l2', 'codebook_weight': 1.0, 'image_size': 512, 'log_every': 100, 'ckpt_every': 6000, 'no_local_save': False, 'rank': 0, 'world_size': 4, 'gpu': 0, 'dist_url': 'env://', 'distributed': True, 'dist_backend': 'nccl'}
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_init.py:init():669] starting backend
2025-01-17 10:54:36,854 INFO    MainThread:298473 [wandb_init.py:init():673] sending inform_init request
2025-01-17 10:54:36,855 INFO    MainThread:298473 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-17 10:54:36,875 INFO    MainThread:298473 [wandb_init.py:init():686] backend started and connected
2025-01-17 10:54:36,878 INFO    MainThread:298473 [wandb_init.py:init():781] updated telemetry
2025-01-17 10:54:36,910 INFO    MainThread:298473 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-01-17 10:54:37,286 INFO    MainThread:298473 [wandb_init.py:init():867] starting run threads in backend
2025-01-17 10:54:37,569 INFO    MainThread:298473 [wandb_run.py:_console_start():2456] atexit reg
2025-01-17 10:54:37,569 INFO    MainThread:298473 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-01-17 10:54:37,570 INFO    MainThread:298473 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-01-17 10:54:37,571 INFO    MainThread:298473 [wandb_run.py:_redirect():2395] Redirects installed.
2025-01-17 10:54:37,575 INFO    MainThread:298473 [wandb_init.py:init():911] run started, returning control to user process
2025-01-18 11:34:16,059 WARNING MsgRouterThr:298473 [router.py:message_loop():75] message_loop has been closed
